hour,coef_did,p_value,pct_change,ci_lower,ci_upper,ci_lower_pct,ci_upper_pct,significant,post_coef,post_p_value
0,0.12466181493840067,0.01420990580834447,13.276530397872532,0.0250791645183112,0.22424446535849013,2.539629231498286,25.137690034074357,True,-0.03485919531359142,0.3302714655494725
1,0.1644705466594455,0.03622320766980769,17.876885035992697,0.01062010277587,0.318320990543021,1.067669623270051,37.48174938219242,True,-0.05611718680216729,0.3409314116777149
2,0.11313963434077376,0.2097783644037463,11.978828293111189,-0.06406763927845333,0.29034690796000084,-6.205844430495255,33.68911857846035,False,0.023767292436720436,0.7051682914276545
3,0.28152709494275807,7.519960210089494e-10,32.51519007500019,0.1926010589833668,0.3704531309021494,21.23990213291169,44.83907766077393,True,0.034394318802333325,0.3003649823448522
4,0.004838559521884153,0.8837178158708068,0.48502842536510826,-0.060027910092618916,0.06970502913638722,-5.826175078430751,7.21918692434671,False,0.08132531094386418,0.002351510462253348
5,-0.10191044028536371,6.6450934079753665e-06,-9.688956964048545,-0.14622521433793695,-0.057595666232790464,-13.60368956063116,-5.596842587794882,True,0.15900281647386347,2.220446049250313e-16
6,-0.16654941509032062,0.0,-15.341901797388024,-0.20152773221909526,-0.13157109796154598,-18.251909331386706,-12.32830598654192,True,0.146410799591535,0.0
7,-0.10371077303651449,3.8303782368132033e-10,-9.851400622421558,-0.13616175459908755,-0.07125979147394143,-12.729854240321359,-6.87800623000745,True,0.09245928292248522,4.8504533722848464e-11
8,-0.11145483497184937,8.770761894538737e-14,-10.54682079555177,-0.1407250172216195,-0.08218465272207923,-13.127183585975866,-7.889814097343306,True,0.09134826206196256,2.8399504969911504e-13
9,-0.12364957105970305,0.0,-11.631054300967502,-0.15063644562279233,-0.09666269649661377,-13.983964311552555,-9.213782041255293,True,0.09820898830950943,0.0
10,-0.07635153436850141,5.7748641424382186e-09,-7.350954393090648,-0.10203916045951301,-0.0506639082774898,-9.700581069091275,-4.940189499569502,True,0.08280707862370615,2.0872192862952943e-14
11,-0.05516242796115839,1.6539346775701347e-05,-5.366857521455659,-0.08025820445880527,-0.0300666514635115,-7.712197560077327,-2.961914591104675,True,0.07682605282354907,7.283063041541027e-14
12,-0.03699710933855962,0.0040955555154400525,-3.6321078985474875,-0.062254749396169096,-0.011739469280950137,-6.035651731147073,-1.1670830568028312,True,0.0684262848584786,9.764411501578252e-12
13,-0.03019905928715586,0.020022431738670576,-2.9747623422141323,-0.055645848091308306,-0.0047522704830034075,-5.4125940316435805,-0.4740996312005419,True,0.06151011232785623,1.2070453525581115e-09
14,-0.04652617563407098,0.0003568332788113082,-4.546042543565054,-0.07206460382924237,-0.020987747438899584,-6.9529218106076485,-2.076903741684333,True,0.07399604569562748,3.0464519795714295e-13
15,-0.014147201445960428,0.2767619395988108,-1.404760003852401,-0.039642578752572995,0.011348175860652137,-3.886709291010748,1.1412810672682294,False,0.05302761780374923,1.2911336111365301e-07
16,-0.019867345880018004,0.12104895015814066,-1.9671290676113617,-0.044983856233677844,0.005249164473641838,-4.3987084642371554,0.5262965474819081,False,0.05364136165457271,4.5506044488163866e-08
17,-0.013952311763628971,0.2764788450498201,-1.3855429363068938,-0.03908162622512808,0.011177002697870139,-3.8327791729626526,1.123969875948072,False,0.04844847078909505,6.544027553179177e-07
18,-0.003018550177208571,0.8136562378860202,-0.3013998935158302,-0.028119741246644146,0.022082640892227,-2.772806122325866,2.2328267099672283,False,0.03472318129211939,0.00034944865383468304
19,0.024449841703371767,0.06408507398406016,2.4751190043954097,-0.0014312956158853071,0.05033097902262884,-0.14302718008342152,5.161910264423075,False,0.02413184654842624,0.01565475592239074
20,-0.017737116643402277,0.22519477904100293,-1.7580739912394505,-0.046402413444296894,0.010928180157492338,-4.534228221699554,1.098811083037643,False,0.021256560597042517,0.049283515070755346
21,-0.013410343031175179,0.44768311762114843,-1.3320824983761526,-0.048031031072765684,0.021210345010415327,-4.689578922750293,2.1436883194197565,False,0.051159661807349856,2.3222977135306522e-05
22,-0.030089482170358634,0.18392667084722825,-2.964130013895727,-0.0744779895019635,0.014299025161246242,-7.177209540738916,1.4401745236553243,False,0.0874773148172712,7.940702095865504e-09
23,0.10722194300915162,0.0007742458533956942,11.318128986962762,0.04476556477635397,0.1696783212419493,4.578266287597277,18.49236252473334,True,0.01658186020744814,0.413658398647198
